,go,pv,k,n,N,genes
146,GO_SYNAPSE_ASSEMBLY,8.205346292001457e-15,28,65,593,ADGRL1;ADGRL3;BHLHB9;EEF2K;FLRT2;FZD1;GABRA2;GABRB2;GRID2;LINGO2;LRRTM2;LRRTM3;MDGA1;NLGN1;NLGN3;PCDHB10;PCDHB14;PCDHB3;PCDHB4;PCDHB5;PCDHB9;PLXNB1;PTPRD;RAB17;SLITRK2;SLITRK3;SLITRK5;VSTM5
51,GO_REGULATION_OF_SYNAPSE_ASSEMBLY,1.2458216810481758e-11,19,39,593,ADGRL1;ADGRL3;BHLHB9;EEF2K;FLRT2;FZD1;GRID2;LINGO2;LRRTM2;LRRTM3;MDGA1;NLGN1;NLGN3;PTPRD;RAB17;SLITRK2;SLITRK3;SLITRK5;VSTM5
25,GO_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY,2.2393406397620772e-11,16,28,593,ADGRL1;ADGRL3;BHLHB9;EEF2K;FLRT2;GRID2;LINGO2;LRRTM2;LRRTM3;NLGN1;NLGN3;PTPRD;SLITRK2;SLITRK3;SLITRK5;VSTM5
33,GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,9.685115063765385e-10,61,346,593,ABI2;ADCY6;ADGRL1;ADGRL3;ASPA;BHLHB9;C21orf91;CAMK2A;CDH4;CDON;CNTN4;CRMP1;CRTC1;EEF2K;ENC1;ETV5;FLRT2;FOXO6;FZD1;FZD4;GDPD5;GPR161;GPR173;GRID2;HEY1;HOXB3;LINGO2;LMX1A;LRRTM2;LRRTM3;MARK1;MDGA1;MOV10;MYLIP;NGF;NLGN1;NLGN3;NRG3;PLAG1;PLXNB1;PTPRD;RAB17;RARB;RNF112;SARM1;SEMA3A;SEMA4G;SEMA5A;SEMA6C;SEMA6D;SLIT2;SLITRK2;SLITRK3;SLITRK5;TNN;TTBK1;UNC5D;VLDLR;VSTM5;ZMYND8;ZNF536
12,GO_SYNAPSE_ORGANIZATION,1.1137228374324808e-09,37,159,593,ABI2;ADGRL1;ADGRL3;BHLHB9;CNKSR2;COL4A5;CTNND2;EEF2K;ETV5;FLRT2;FZD1;GABRA2;GABRB2;GRID2;GRIN2B;LINGO2;LMX1A;LRRTM2;LRRTM3;MDGA1;NLGN1;NLGN3;NTNG1;PCDHB10;PCDHB14;PCDHB3;PCDHB4;PCDHB5;PCDHB9;PLXNB1;PTPRD;RAB17;SLITRK2;SLITRK3;SLITRK5;VSTM5;ZMYND8
134,GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,1.482062155390509e-09,28,100,593,ADGRL1;ADGRL3;AJUBA;ARVCF;CDH4;CLDN15;CNTN4;FAT3;GRID2;MDGA1;NLGN1;NTNG1;PCDH10;PCDH11X;PCDH18;PCDHB10;PCDHB14;PCDHB15;PCDHB3;PCDHB4;PCDHB5;PCDHB9;PKD1;PTPRD;SLITRK2;SLITRK3;TRO;UNC5D
77,GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION,4.895687924521115e-09,51,276,593,ABI2;AR;B4GALT6;BHLHB9;CDH4;CNTN4;CRMP1;CTNND2;DOK6;EEF2K;FGFR2;FLRT2;FZD4;GAB1;LAMA5;LAMB1;LGI1;LMX1A;MATN3;NCAM1;NGF;NKX2-1;NLGN1;NLGN3;NTN3;NTNG1;PIK3R1;PLXNB1;POF1B;PREX2;PTCH1;PTPRD;RADIL;RBFOX2;RILPL1;SARM1;SEMA3A;SEMA4G;SEMA5A;SEMA6C;SEMA6D;SLIT2;SLITRK2;SLITRK3;SLITRK5;SMAD4;TBC1D20;TNN;ULK1;UNC5D;VLDLR
79,GO_NEUROGENESIS,2.9353200396413797e-08,86,609,593,ABI2;ADCY6;ADGRG6;ADGRL3;ASPA;ATCAY;B4GALT6;BHLHB9;C21orf91;CAMK2A;CDH4;CDON;CNTN4;CRMP1;CRTC1;CTNND2;DOK6;EEF2K;ENC1;ETV5;FGF10;FGFR2;FLRT2;FOXO6;FZD1;FZD4;GAB1;GABRB2;GDPD5;GPR173;GRID2;HEY1;HOXB3;LAMB1;LEMD2;LGI1;LMX1A;MARK1;MDGA1;MOV10;MYLIP;NAV2;NCAM1;NGF;NKX2-1;NLGN1;NLGN3;NOTO;NRG3;NTN3;NTNG1;NUP133;PIK3R1;PLAG1;PLXNB1;PRDM5;PREX2;PTCH1;PTPRD;RAB17;RARB;RBFOX2;RNF112;SARM1;SEMA3A;SEMA4G;SEMA5A;SEMA6C;SEMA6D;SH3TC2;SLIT2;SLITRK2;SLITRK3;SLITRK5;SMAD4;SOX4;SOX6;TNN;TSPAN2;TTBK1;TULP1;ULK1;UNC5D;VLDLR;ZMYND8;ZNF536
109,GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION,3.9391667783777046e-08,42,219,593,ABI2;B4GALT6;BHLHB9;CDH4;CNTN4;CRMP1;CTNND2;DOK6;EEF2K;FGFR2;FLRT2;GAB1;LGI1;LMX1A;NCAM1;NGF;NKX2-1;NLGN1;NLGN3;NTN3;NTNG1;PIK3R1;PLXNB1;PREX2;PTCH1;PTPRD;RBFOX2;SARM1;SEMA3A;SEMA4G;SEMA5A;SEMA6C;SEMA6D;SLIT2;SLITRK2;SLITRK3;SLITRK5;SMAD4;TNN;ULK1;UNC5D;VLDLR
8,GO_CELL_PART_MORPHOGENESIS,2.236597309213281e-07,44,249,593,ABI2;B4GALT6;BHLHB9;CDH4;CNTN4;CRMP1;CTNND2;DOK6;EEF2K;FGFR2;FLRT2;FZD4;GAB1;LGI1;LMX1A;MOV10;NCAM1;NGF;NKX2-1;NLGN1;NLGN3;NTN3;NTNG1;PIK3R1;PLXNB1;PREX2;PTCH1;PTPRD;RBFOX2;SARM1;SEMA3A;SEMA4G;SEMA5A;SEMA6C;SEMA6D;SLIT2;SLITRK2;SLITRK3;SLITRK5;SMAD4;TNN;ULK1;UNC5D;VLDLR
2,GO_NEURON_DEVELOPMENT,3.069190945774193e-07,62,411,593,ABI2;ADCY6;ATCAY;B4GALT6;BHLHB9;C21orf91;CAMK2A;CDH4;CNTN4;CRMP1;CRTC1;CTNND2;DOK6;EEF2K;ENC1;FGFR2;FLRT2;FOXO6;FZD1;FZD4;GAB1;GABRB2;GDPD5;GRID2;LAMB1;LGI1;LMX1A;MARK1;MOV10;MYLIP;NCAM1;NGF;NKX2-1;NLGN1;NLGN3;NTN3;NTNG1;PIK3R1;PLXNB1;PREX2;PTCH1;PTPRD;RAB17;RBFOX2;SARM1;SEMA3A;SEMA4G;SEMA5A;SEMA6C;SEMA6D;SLIT2;SLITRK2;SLITRK3;SLITRK5;SMAD4;TNN;TSPAN2;TULP1;ULK1;UNC5D;VLDLR;ZMYND8
35,GO_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,3.413533103572279e-07,38,203,593,ADGRL1;ADGRL3;ASPA;BHLHB9;C21orf91;CDH4;CDON;CRTC1;EEF2K;ENC1;ETV5;FLRT2;FOXO6;FZD1;FZD4;GDPD5;GRID2;LINGO2;LRRTM2;LRRTM3;NGF;NLGN1;NLGN3;PLAG1;PLXNB1;PTPRD;RARB;RNF112;SEMA3A;SEMA5A;SLIT2;SLITRK2;SLITRK3;SLITRK5;TTBK1;VLDLR;VSTM5;ZMYND8
