,go,pv,k,n,N,genes
50,GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY,7.946027451416445e-06,13,50,471,CACNA1A;CACNA1B;CACNB3;CACNG3;GRIN1;HCN4;KCNA1;KCNE1B;KCNF1;KCNH4;KCNV1;LRRC26;NCS1
9,GO_LEARNING,1.7138324815852476e-05,12,46,471,FOS;FOXB1;GABRA5;GRIN1;NPTX2;NRXN1;OPRL1;PAK5;PAK6;RGS14;SLC8A2;SYNGAP1
41,GO_CATION_CHANNEL_COMPLEX,4.1480176511084756e-05,15,74,471,CACNA1A;CACNA1B;CACNB3;CACNG3;CNIH2;GRIN1;GRIN3B;HCN4;KCNA1;KCNE1B;KCNF1;KCNH4;KCNV1;LRRC26;OLFM3
7,GO_PONS_DEVELOPMENT,7.183457524995199e-05,4,5,471,CDK5R1;GRIN1;PHOX2A;SCRIB
4,GO_ASSOCIATIVE_LEARNING,0.00012631053429410313,8,26,471,FOS;FOXB1;GABRA5;GRIN1;NPTX2;OPRL1;RGS14;SYNGAP1
72,GO_DENDRITIC_TREE,0.00017305907990489315,28,216,471,ADORA1;CACNA1B;CACNG3;CDK5R1;CKB;CNIH2;CNNM4;DVL1;EPHA1;GNB3;GRIN1;HTR1E;HTR5A;KCNA1;KNDC1;L1CAM;MAP6;MARK2;NCS1;PDLIM4;PSD;RANGAP1;RGS14;ROGDI;SLC8A2;SRCIN1;SYNGAP1;ZFYVE27
43,GO_TRANSPORTER_COMPLEX,0.00018102232740332974,18,112,471,CACNA1A;CACNA1B;CACNB3;CACNG3;CNIH2;GABRA5;GABRG1;GRIN1;GRIN3B;HCN4;KCNA1;KCNE1B;KCNF1;KCNH4;KCNV1;LRRC26;OLFM3;SCRIB
29,GO_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE,0.00018149868415284632,5,10,471,ADORA1;GRIN1;MTG2;PHOX2A;SLC5A3
49,GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY,0.00018222781656371853,13,66,471,CACNA1A;CACNA1B;CACNB3;CACNG3;GRIN1;HCN4;KCNA1;KCNE1B;KCNF1;KCNH4;KCNV1;LRRC26;NCS1
44,GO_SOMATODENDRITIC_COMPARTMENT,0.00026146754214419833,34,290,471,ADORA1;ASTN2;CACNA1A;CACNA1B;CACNG3;CDK5R1;CKB;CNIH2;CNNM4;DVL1;ENDOG;EPHA1;GABRA5;GNB3;GRIN1;GRIN3B;HTR1E;HTR5A;KCNA1;KNDC1;L1CAM;MAP6;MARK2;NCS1;NRXN1;PDLIM4;PSD;RANGAP1;RGS14;ROGDI;SLC8A2;SRCIN1;SYNGAP1;ZFYVE27
74,GO_NEUROTRANSMITTER_RECEPTOR_COMPLEX,0.0003963179089171326,6,17,471,CACNG3;CNIH2;GRIN1;GRIN3B;OLFM3;SCRIB
6,GO_STARTLE_RESPONSE,0.00045431173282267135,4,7,471,DVL1;GRIN1;KCNA1;NRXN1
52,GO_GATED_CHANNEL_ACTIVITY,0.0005424745298813785,17,112,471,CACNA1A;CACNA1B;CACNB3;CACNG3;CLCA4;GABRA5;GABRG1;GRIN1;GRIN3B;HCN4;KCNA1;KCNE1B;KCNF1;KCNH4;KCNV1;LRRC26;NCS1
28,GO_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES,0.0008638073021095976,4,8,471,CLDN19;CLDN3;CLDN8;CLDN9
66,GO_CRANIAL_NERVE_FORMATION,0.000927320827272047,3,4,471,PAX2;PHOX2A;TFAP2A
26,GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION,0.0011350381818633485,26,219,471,CDK5R1;CELSR3;DSCAML1;DVL1;EFNA3;EPHA1;EPHA10;FOXB1;GRIN1;KNDC1;L1CAM;LRTM2;MAP6;MARK2;NKX2-8;NRXN1;NUMBL;PAX2;SCRIB;SLIT1;SRCIN1;STRC;SYNGAP1;UNC5B;VSTM2L;ZFYVE27
13,GO_NEUROGENESIS,0.0011445404732620978,57,609,471,AZU1;BTG4;CDK5R1;CELSR3;DDR1;DMRT3;DMRTA2;DSCAML1;DVL1;EFNA3;EPHA1;EPHA10;FOXB1;GABRA5;GRIN1;HS6ST1;IER2;KCNA1;KNDC1;L1CAM;LRTM2;MAP6;MARK2;MYB;NCS1;NKX2-8;NPHP4;NRXN1;NUMBL;NYAP1;OLFM3;PAX2;PHOX2A;PRDM8;PSD;RGS14;ROGDI;RP1;SCRIB;SCRT1;SDK1;SLIT1;SOX3;SRCIN1;SRRT;STRC;SYNGAP1;TCF3;TENM4;TP73;TRIM11;UNC5B;USP21;VSTM2L;WDR5;WNT7B;ZFYVE27
70,GO_AXON_DEVELOPMENT,0.0014442846072382108,23,188,471,CDK5R1;CELSR3;DDR1;DSCAML1;DVL1;EFNA3;EPHA1;EPHA10;FOXB1;GRIN1;L1CAM;LRTM2;MAP6;MARK2;NKX2-8;NRXN1;NUMBL;PAX2;SLIT1;SYNGAP1;UNC5B;VSTM2L;ZFYVE27
59,GO_EPHRIN_RECEPTOR_ACTIVITY,0.001478328261718244,4,9,471,EFNA3;EPHA1;EPHA10;EPHB6
51,GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0015195330538512611,20,155,471,CACNA1A;CACNA1B;CACNB3;CACNG3;CNNM4;GRIN1;GRIN3B;HCN4;KCNA1;KCNE1B;KCNF1;KCNH4;KCNV1;LRRC26;NCS1;ORAI2;SLC12A7;SLC4A11;SLC5A3;SLC8A2
54,GO_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,0.0016981684732224793,8,37,471,ADORA1;GABRA5;GABRG1;GPR156;GRIN1;GRIN3B;HTR1E;HTR5A
42,GO_NEURON_PROJECTION,0.0017581999526612984,46,475,471,ADORA1;AP3B2;CACNA1B;CACNG3;CCDC120;CDK5R1;CEP250;CFAP410;CKB;CNIH2;CNNM4;CYTH2;DSCAML1;DVL1;EPHA1;EPHA10;ESPN;FOS;GABRA5;GABRG1;GNB3;GRIN1;HTR1E;HTR5A;KCNA1;KNDC1;L1CAM;MAP6;MARK2;NCS1;OPN4;ORAI2;PDLIM4;PSD;RANGAP1;RGS14;ROGDI;RP1;SLC17A6;SLC8A2;SRCIN1;STRC;SYNGAP1;TENM4;VSTM2L;ZFYVE27
