,go,pv,k,n,N,genes
138,GO_TUBE_DEVELOPMENT,2.951320086733411e-16,92,352,829,ACKR3;AMOT;AMOTL2;ANG;ANGPT1;APLN;ARHGAP24;ATOH8;CARD10;CAV1;CAV3;CD34;CLDN5;CLEC14A;COL3A1;CPS1;CREB1;CTHRC1;CUL7;CX3CR1;DACT2;EDNRA;EFNB2;EMILIN1;EOMES;EPHB3;ESM1;FAP;FLT4;FOXF2;FZD2;FZD6;FZD8;GLI1;GLI2;HLA-G;HLX;HOXA5;HOXA7;HOXB7;IGFBP5;INKA1;IRX3;ISM1;ITGA3;LBX1;LMO4;LRP6;LTBP3;LZTS2;MAPK3;MDK;MEGF8;MEOX2;MMP14;NFIB;NOX5;NR2F2;OSR1;PBX1;PDGFA;QKI;RAMP2;RARG;RHOJ;SEMA3C;SEMA3E;SEMA4C;SFRP1;SMO;SPARC;SPRY1;STAT1;SUFU;TBX21;TBXA2R;TEAD2;TGFB2;THBS4;THRA;THY1;TIE1;TLR3;TMIGD2;TNS3;TRIM71;TSPAN12;TWIST1;VASH2;WNT7A;ZFPM2;ZNF358
193,GO_TUBE_MORPHOGENESIS,1.0367643559644189e-15,79,284,829,ACKR3;AMOT;AMOTL2;ANG;ANGPT1;APLN;ARHGAP24;ATOH8;CARD10;CAV1;CAV3;CD34;CLDN5;CLEC14A;COL3A1;CTHRC1;CUL7;CX3CR1;EDNRA;EFNB2;EMILIN1;EOMES;EPHB3;ESM1;FAP;FLT4;FZD2;FZD6;FZD8;GLI1;GLI2;HLA-G;HLX;HOXA5;HOXA7;HOXB7;IRX3;ISM1;LBX1;LMO4;LRP6;LZTS2;MDK;MEGF8;MEOX2;MMP14;NFIB;NOX5;NR2F2;OSR1;PBX1;PDGFA;QKI;RAMP2;RARG;RHOJ;SEMA3E;SEMA4C;SFRP1;SMO;SPARC;SPRY1;STAT1;SUFU;TBX21;TBXA2R;TEAD2;TGFB2;THBS4;THY1;TIE1;TLR3;TMIGD2;TRIM71;TSPAN12;TWIST1;VASH2;WNT7A;ZFPM2
244,GO_CIRCULATORY_SYSTEM_DEVELOPMENT,8.544890850875702e-15,91,364,829,ACKR3;AMOT;AMOTL2;ANG;ANGPT1;APLN;ARHGAP24;BICC1;BVES;CARD10;CAV1;CAV3;CD34;CLDN5;CLEC14A;COL1A1;COL1A2;COL3A1;COL5A1;CREB1;CUL7;CX3CR1;EDNRA;EFNB2;EMILIN1;EOMES;EPHB3;ESM1;FAP;FBN1;FGF20;FLT4;FOXS1;FZD2;FZD7;FZD8;GLI1;GLI2;HLA-G;HOXA5;HOXA7;ID3;IGF1;ISM1;ITGA3;LBX1;LMO4;LOXL1;LRP6;MAPK11;MAPK3;MDK;MEGF8;MEOX2;MMP14;NOX4;NOX5;NR2F2;OSR1;PDGFA;PDGFD;PI16;QKI;RAMP2;RHOJ;SEMA3C;SEMA3E;SFRP1;SGCB;SMO;SNAI2;SPARC;SPRY1;STAT1;SUFU;TBX21;TBXA2R;TEAD2;TGFB2;THBS4;THY1;TIE1;TLR3;TMEM204;TMIGD2;TSPAN12;TWIST1;VASH2;WNT7A;YY1;ZFPM2
260,GO_EXTRACELLULAR_MATRIX,1.5511280876981002e-14,60,193,829,ADAMTS5;AGRN;ANG;ANGPTL2;ANOS1;ANXA8;CCDC80;CD248;CHADL;CLEC14A;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A2;CTHRC1;DPT;ECM2;EDIL3;EFEMP1;EFEMP2;EGFL6;EMILIN1;ENTPD2;F7;FBN1;FMOD;FREM1;FREM3;GPC1;GPC6;IGFALS;IGFBP7;LAMA4;LAMB4;LOXL1;LTBP3;MDK;MFAP5;MMP11;MMP14;MMP16;MMP28;MXRA5;NID2;PRG4;PRSS1;SCARA3;SFRP1;SPARC;SPOCK2;SPON2;TGFB1I1;TGFB2;THBS4;TLR3;TRIL;WNT5B;WNT7A
174,GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,2.4661430216696295e-13,84,341,829,AMOT;ASCL2;CARD10;CAV1;CAV3;CDK6;CHADL;CLDN5;COL3A1;COL5A1;COL5A2;CX3CR1;DACT3;DIXDC1;DMTN;DNM3;DPF2;DPYSL3;EFEMP1;EFNB2;EFNB3;EMILIN1;FBN1;FGF13;FZD7;GAS6;GDF5;GLI2;H4C11;HLA-G;HLX;HOXA2;HOXA5;HOXA7;HOXB8;ID3;ID4;IGF1;IGFBP5;IL17D;IRX3;ISM1;LBX1;LTBP3;MAG;MAPK11;MDK;MEN1;MEOX2;MMP11;MYOZ1;NFIB;NR2F1;OSR1;PBX1;PI16;PRAG1;RARG;SEMA3C;SEMA3E;SEMA4C;SFRP1;SMO;SNAI2;SPARC;SPOCK1;STAT1;SUFU;TBX21;TBXA2R;TGFB1I1;TGFB2;THBS4;THY1;TIE1;TLR3;TMEM98;TRAK2;TWIST1;USP19;WNT10B;WNT7A;YY1;ZFPM2
346,GO_CARDIOVASCULAR_SYSTEM_DEVELOPMENT,6.107706922866034e-13,66,241,829,ACKR3;AMOT;AMOTL2;ANG;ANGPT1;APLN;ARHGAP24;CARD10;CAV1;CD34;CLDN5;CLEC14A;COL1A1;COL1A2;COL3A1;COL5A1;CUL7;CX3CR1;EDNRA;EFNB2;EMILIN1;EPHB3;ESM1;FAP;FLT4;FOXS1;FZD8;HLA-G;HOXA5;HOXA7;ISM1;LOXL1;MDK;MEGF8;MEOX2;MMP14;NOX5;NR2F2;OSR1;PDGFA;PDGFD;QKI;RAMP2;RHOJ;SEMA3C;SEMA3E;SFRP1;SGCB;SMO;SPARC;STAT1;SUFU;TBXA2R;TEAD2;TGFB2;THBS4;THY1;TIE1;TLR3;TMEM204;TMIGD2;TSPAN12;TWIST1;VASH2;WNT7A;ZFPM2
363,GO_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX,7.213494625879615e-13,49,151,829,ADAMTS5;AGRN;ANG;ANGPTL2;ANXA8;CCDC80;CHADL;CLEC14A;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A2;CTHRC1;DPT;ECM2;EDIL3;EFEMP1;EFEMP2;EGFL6;EMILIN1;ENTPD2;F7;FBN1;FMOD;FREM1;FREM3;GPC1;GPC6;IGFBP7;LAMA4;LAMB4;LOXL1;LTBP3;MDK;MFAP5;MMP28;MXRA5;NID2;PRG4;PRSS1;SCARA3;SFRP1;SPARC;TGFB1I1;TGFB2;THBS4;WNT5B
146,GO_EMBRYONIC_MORPHOGENESIS,1.9189167479181813e-12,58,202,829,AMOT;APLN;ATOH1;ATOH8;ATP8A2;CDKN1C;COL5A1;COL5A2;CTHRC1;DLX5;EFEMP1;EOMES;FBN1;FOXF2;FOXL2;FZD2;FZD6;FZD7;GDF5;GLI1;GLI2;HLX;HOXA2;HOXA4;HOXA5;HOXA7;HOXB2;HOXB5;HOXB6;HOXB7;HOXB8;HOXC4;HOXD9;INSIG2;IRX3;ITGA3;LBX1;LMO4;LRP6;MAPK3;MEGF8;MMP14;MMP16;OSR1;PBX1;RARG;SEMA4C;SFRP1;SMO;SUFU;TBX21;TEAD2;TGFB1I1;TGFB2;TRIM71;TWIST1;WNT7A;ZNF358
312,GO_ANIMAL_ORGAN_MORPHOGENESIS,2.3996708415653775e-12,91,398,829,ADAMTS5;AGRN;ATOH1;ATP8A2;CAV1;CAV3;CD34;CLDN5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A2;CSGALNACT1;CTHRC1;DLX5;EFEMP1;EFNB2;EOMES;FBN1;FGD1;FGF16;FOXF2;FOXL2;FREM1;FZD2;FZD6;FZD7;GAMT;GLI1;GLI2;GPC6;HCN1;HLX;HOXA2;HOXA4;HOXA5;HOXA7;HOXB2;HOXB5;HOXB6;HOXB7;HOXB8;HOXC4;HOXD9;ID3;ID4;IGFBP5;INSIG2;IRX3;LAMB4;LBX1;LRP6;LTBP3;LZTS2;MAPK3;MDK;MEGF8;MMP14;MMP16;NFIB;OSR1;PBX1;PDGFA;PLXNA1;RAB23;RARG;SCARA3;SEMA3C;SFRP1;SFRP4;SLC40A1;SMO;SNAI2;SPRY1;STAT1;SUFU;TBX21;TEAD2;TGFB2;THRA;THY1;TLE5;TSPAN12;TUFT1;TWIST1;WNT10B;WNT7A;YY1;ZFPM2
102,GO_EMBRYONIC_ORGAN_MORPHOGENESIS,5.528166254210341e-12,39,109,829,ATOH1;ATP8A2;CTHRC1;DLX5;EFEMP1;EOMES;FBN1;FOXF2;FOXL2;FZD2;FZD6;GLI1;GLI2;HLX;HOXA2;HOXA4;HOXA5;HOXA7;HOXB2;HOXB5;HOXB6;HOXB7;HOXB8;HOXC4;HOXD9;INSIG2;LBX1;LRP6;MAPK3;MEGF8;MMP14;MMP16;OSR1;RARG;SMO;SUFU;TBX21;TEAD2;TWIST1
